Aboard
0.002
0.005
0.001
0.02
0.03
0.041
0.019
0.02
0.022
0.019
0.028
0.02
0.02
0.023
0.021
0.024
0.018000000000000002
0.018000000000000002
0.023
0.022
0.019
0.001
0.001
0.001
0.001
0.001
""
0.001
0.001
0.001
0.002
0.002
0.002
0.001
0.001
0.001
0.002
0.002
0.001
0.002
0.002
0.001
0.001
0.008
0.001
0.001
0.003
0.002
0.001
0.002
0.001
0.001
0.001
0.001
0.002
0.046
0.005
0.003
0.005
0.045
0.007
0.017
0.003
0.001
0.003
0.003
0.001
0.004
0.002
0.001
0.004
0.001
0.001
0.001
0.006
0.002
0.001
0.006
0.004
0.001
0.052000000000000005
0.001
0.001
0.003
0.003
0.001
0.001
0.001
0.008
0.005
0.004
0.002
0.004
0.002
0.001
0.001
0.043000000000000003
0.003
0.002
0.001
0.001
0.001
0.007
0.002
0.004
0.004
0.005
0.004
0.012
0.003
0.001
0.002
0.001
0.003
0.001
0.001
0.002
0.003
0.005
0.011
0.001
0.012
0.004
0.006
0.002
0.004
0.001
0.006
0.001
0.002
0.001
0.004
0.003
0.002
0.002
0.002
0.001
0.002
0.01
0.002
0.002
0.009000000000000001
0.001
0.002
0.005
0.005
0.001
0.006
0.004
0.001
0.007
0.003
0.002
0.007
0.003
0.003
0.001
0.002
0.002
0.003
0.001
0.003
0.005
0.014
0.006
0.004
0.001
0.004
0.003
0.001
0.001
0.009000000000000001
0.001
0.002
0.015
0.004
0.006
0.002
0.005
0.005
0.002
0.013000000000000001
0.008
0.005
0.001
0.004
0.001
0.001
0.005
0.002
0.008
0.005
0.005
0.002
0.001
0.007
0.001
0.002
0.004
0.008
0.003
0.001
0.001
0.003
0.003
0.005
0.001
0.003
0.016
0.002
0.005
0.001
0.002
0.004
0.004
0.015
0.008
0.005
0.011
0.002
0.003
0.054
0.008
0.004
0.003
0.006
0.001
0.009000000000000001
0.003
0.006
0.002
0.001
0.001
0.003
0.003
0.008
0.008
0.01
0.002
0.001
0.001
0.004
0.003
0.004
0.002
0.002
0.001
0.007
0.006
0.001
0.004
0.003
0.003
0.005
0.003
0.001
0.003
0.001
0.006
0.007
0.002
0.005
0.001
0.008
0.005
0.001
0.002
0.003
0.005
0.007
0.001
0.003
0.001
0.001
0.002
0.003
0.009000000000000001
0.007
0.002
0.004
0.002
0.003
0.001
0.002
0.002
0.005
0.002
0.002
0.001
0.002
0.001
0.002
0.001
0.001
0.003
0.002
0.003
0.015
0.002
0.076
0.006
0.004
0.006
0.001
0.005
0.008
0.01
0.002
0.009000000000000001
0.001
0.008
0.02
0.002
0.008
0.006
0.01
0.014
0.002
0.008
0.006
0.004
0.006
0.015
0.003
0.006
0.002
0.007
0.01
0.007
0.001
0.004
0.012
0.002
""
0.005
0.003
0.011
0.004
0.004
0.004
0.002
0.003
0.001
0.008
0.007
0.001
0.001
0.011
""
0.006
0.005
0.003
0.007
0.001
0.014
0.012
0.05
0.001
0.002
0.009000000000000001
0.02
0.02
0.002
0.013000000000000001
""
0.004
0.003
0.002
0.003
0.005
0.012
0.006
0.006
0.004
0.004
0.014
0.001
0.003
0.002
0.011
0.003
0.013000000000000001
0.017
0.013000000000000001
0.006
0.006
0.004
0.006
0.014
0.002
0.015
0.025
0.007
0.005
0.002
0.002
0.002
0.015
0.006
0.007
0.007
0.003
0.001
0.008
0.002
0.002
0.011
0.002
0.003
0.004
0.001
0.001
